2025-03-08T13:00:00.054 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:42.249 +0530 [V]  - Music active, INFO
2025-03-08T13:04:43.249 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:43.250 +0530 [V]  - Music active, INFO
2025-03-08T13:04:44.250 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:44.251 +0530 [V]  - Music active, INFO
2025-03-08T13:04:45.248 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:45.250 +0530 [V]  - Music active, INFO
2025-03-08T13:04:46.251 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:46.252 +0530 [V]  - Music active, INFO
2025-03-08T13:04:47.252 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:47.253 +0530 [V]  - Music active, INFO
2025-03-08T13:04:48.253 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:48.254 +0530 [V]  - Music active, INFO
2025-03-08T13:04:49.252 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:49.253 +0530 [V]  - Music active, INFO
2025-03-08T13:04:50.255 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:50.256 +0530 [V]  - Music active, INFO
2025-03-08T13:04:51.256 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:51.257 +0530 [V]  - Music active, INFO
2025-03-08T13:04:52.258 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:52.258 +0530 [V]  - Music active, INFO
2025-03-08T13:04:53.260 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:53.261 +0530 [V]  - Music active, INFO
2025-03-08T13:04:54.261 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:54.262 +0530 [V]  - Music active, INFO
2025-03-08T13:04:55.262 +0530 [V]  - Music active, INFO
2025-03-08T13:04:55.262 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:56.261 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:56.262 +0530 [V]  - Music active, INFO
2025-03-08T13:04:57.260 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:57.262 +0530 [V]  - Music active, INFO
2025-03-08T13:04:58.262 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:58.263 +0530 [V]  - Music active, INFO
2025-03-08T13:04:59.262 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:04:59.263 +0530 [V]  - Music active, INFO
2025-03-08T13:05:00.263 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:00.264 +0530 [V]  - Music active, INFO
2025-03-08T13:05:01.265 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:01.266 +0530 [V]  - Music active, INFO
2025-03-08T13:05:02.263 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:02.264 +0530 [V]  - Music active, INFO
2025-03-08T13:05:03.262 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:03.263 +0530 [V]  - Music active, INFO
2025-03-08T13:05:04.264 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:04.264 +0530 [V]  - Music active, INFO
2025-03-08T13:05:05.265 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:05.266 +0530 [V]  - Music active, INFO
2025-03-08T13:05:06.266 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:06.267 +0530 [V]  - Music active, INFO
2025-03-08T13:05:07.266 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:07.268 +0530 [V]  - Music active, INFO
2025-03-08T13:05:08.267 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:08.268 +0530 [V]  - Music active, INFO
2025-03-08T13:05:09.268 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:09.269 +0530 [V]  - Music active, INFO
2025-03-08T13:05:10.269 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:10.270 +0530 [V]  - Music active, INFO
2025-03-08T13:05:11.270 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:11.271 +0530 [V]  - Music active, INFO
2025-03-08T13:05:12.271 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:12.273 +0530 [V]  - Music active, INFO
2025-03-08T13:05:13.272 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:13.273 +0530 [V]  - Music active, INFO
2025-03-08T13:05:14.274 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:14.274 +0530 [V]  - Music active, INFO
2025-03-08T13:05:15.275 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:15.277 +0530 [V]  - Music active, INFO
2025-03-08T13:05:16.274 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:16.276 +0530 [V]  - Music active, INFO
2025-03-08T13:05:17.275 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:17.275 +0530 [V]  - Music active, INFO
2025-03-08T13:05:18.273 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:18.274 +0530 [V]  - Music active, INFO
2025-03-08T13:05:19.276 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:19.279 +0530 [V]  - Music active, INFO
2025-03-08T13:05:20.277 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:20.278 +0530 [V]  - Music active, INFO
2025-03-08T13:05:21.278 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:21.279 +0530 [V]  - Music active, INFO
2025-03-08T13:05:22.281 +0530 [V]  - Music active, INFO
2025-03-08T13:05:22.279 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:23.280 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:23.280 +0530 [V]  - Music active, INFO
2025-03-08T13:05:24.281 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:24.282 +0530 [V]  - Music active, INFO
2025-03-08T13:05:25.280 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:25.282 +0530 [V]  - Music active, INFO
2025-03-08T13:05:26.281 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:26.281 +0530 [V]  - Music active, INFO
2025-03-08T13:05:27.285 +0530 [V]  - Music active, INFO
2025-03-08T13:05:27.283 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:28.282 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:28.284 +0530 [V]  - Music active, INFO
2025-03-08T13:05:29.284 +0530 [V]  - Music active, INFO
2025-03-08T13:05:29.283 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:30.284 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:30.285 +0530 [V]  - Music active, INFO
2025-03-08T13:05:31.285 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:31.287 +0530 [V]  - Music active, INFO
2025-03-08T13:05:32.285 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:32.285 +0530 [V]  - Music active, INFO
2025-03-08T13:05:33.285 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:33.286 +0530 [V]  - Music active, INFO
2025-03-08T13:05:34.284 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:34.286 +0530 [V]  - Music active, INFO
2025-03-08T13:05:35.286 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:35.287 +0530 [V]  - Music active, INFO
2025-03-08T13:05:36.286 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:36.287 +0530 [V]  - Music active, INFO
2025-03-08T13:05:37.289 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:37.290 +0530 [V]  - Music active, INFO
2025-03-08T13:05:38.289 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:38.290 +0530 [V]  - Music active, INFO
2025-03-08T13:05:39.291 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:39.292 +0530 [V]  - Music active, INFO
2025-03-08T13:05:40.290 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:40.291 +0530 [V]  - Music active, INFO
2025-03-08T13:05:41.291 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:41.294 +0530 [V]  - Music active, INFO
2025-03-08T13:05:42.291 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:42.293 +0530 [V]  - Music active, INFO
2025-03-08T13:05:43.291 +0530 [V]  - Music active, INFO
2025-03-08T13:05:43.291 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:44.292 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:44.293 +0530 [V]  - Music active, INFO
2025-03-08T13:05:45.292 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:45.293 +0530 [V]  - Music active, INFO
2025-03-08T13:05:46.294 +0530 [V]  - Music active, INFO
2025-03-08T13:05:46.293 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:47.294 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:47.295 +0530 [V]  - Music active, INFO
2025-03-08T13:05:48.295 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:48.296 +0530 [V]  - Music active, INFO
2025-03-08T13:05:49.296 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:49.297 +0530 [V]  - Music active, INFO
2025-03-08T13:05:50.295 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:50.296 +0530 [V]  - Music active, INFO
2025-03-08T13:05:51.297 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:51.297 +0530 [V]  - Music active, INFO
2025-03-08T13:05:51.550 +0530 [V]  - lastNotificationReceivedTime = 1741419351548, INFO
2025-03-08T13:05:51.554 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:05:51.561 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:05:51.562 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:05:51.562 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:05:51.564 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:05:51.565 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:05:52.297 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:52.297 +0530 [V]  - Music active, INFO
2025-03-08T13:05:53.297 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:53.298 +0530 [V]  - Music active, INFO
2025-03-08T13:05:54.298 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:54.300 +0530 [V]  - Music active, INFO
2025-03-08T13:05:55.300 +0530 [V]  - Music active, INFO
2025-03-08T13:05:55.300 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:56.300 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:56.301 +0530 [V]  - Music active, INFO
2025-03-08T13:05:57.304 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:57.305 +0530 [V]  - Music active, INFO
2025-03-08T13:05:58.304 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:58.305 +0530 [V]  - Music active, INFO
2025-03-08T13:05:59.303 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:05:59.303 +0530 [V]  - Music active, INFO
2025-03-08T13:06:00.304 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:00.305 +0530 [V]  - Music active, INFO
2025-03-08T13:06:01.305 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:01.306 +0530 [V]  - Music active, INFO
2025-03-08T13:06:02.304 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:02.304 +0530 [V]  - Music active, INFO
2025-03-08T13:06:03.305 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:03.306 +0530 [V]  - Music active, INFO
2025-03-08T13:06:04.307 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:04.307 +0530 [V]  - Music active, INFO
2025-03-08T13:06:05.309 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:05.309 +0530 [V]  - Music active, INFO
2025-03-08T13:06:06.307 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:06.307 +0530 [V]  - Music active, INFO
2025-03-08T13:06:07.307 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:07.308 +0530 [V]  - Music active, INFO
2025-03-08T13:06:08.310 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:08.311 +0530 [V]  - Music active, INFO
2025-03-08T13:06:09.311 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:09.312 +0530 [V]  - Music active, INFO
2025-03-08T13:06:10.310 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:10.311 +0530 [V]  - Music active, INFO
2025-03-08T13:06:11.313 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:11.314 +0530 [V]  - Music active, INFO
2025-03-08T13:06:12.314 +0530 [V]  - Music active, INFO
2025-03-08T13:06:12.314 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:13.314 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:13.315 +0530 [V]  - Music active, INFO
2025-03-08T13:06:14.183 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:14.188 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:14.193 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:14.193 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:14.196 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:14.197 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:14.313 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:14.314 +0530 [V]  - Music active, INFO
2025-03-08T13:06:15.314 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:15.316 +0530 [V]  - Music active, INFO
2025-03-08T13:06:16.320 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:16.324 +0530 [V]  - Music active, INFO
2025-03-08T13:06:17.329 +0530 [V]  - Music active, INFO
2025-03-08T13:06:17.331 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:18.316 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:18.319 +0530 [V]  - Music active, INFO
2025-03-08T13:06:19.319 +0530 [V]  - Music active, INFO
2025-03-08T13:06:19.319 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:19.933 +0530 [V]  - lastNotificationReceivedTime = 1741419379932, INFO
2025-03-08T13:06:19.936 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:19.939 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:19.941 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:19.941 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:19.944 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:19.944 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:19.957 +0530 [V]  - lastNotificationReceivedTime = 1741419379956, INFO
2025-03-08T13:06:19.959 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:19.958 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:19.961 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:19.961 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:19.964 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:19.964 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:19.973 +0530 [V]  - Notification: id-0 sent to linwear, INFO
2025-03-08T13:06:20.316 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:20.316 +0530 [V]  - Music active, INFO
2025-03-08T13:06:21.318 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:21.318 +0530 [V]  - Music active, INFO
2025-03-08T13:06:22.319 +0530 [V]  - Music active, INFO
2025-03-08T13:06:22.319 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:22.439 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:22.440 +0530 [V]  - Music active, INFO
2025-03-08T13:06:22.576 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:22.577 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:22.572 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:22.577 +0530 [V]  - Music active, INFO
2025-03-08T13:06:22.599 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:22.601 +0530 [V]  - Music active, INFO
2025-03-08T13:06:22.799 +0530 [V]  - lastNotificationReceivedTime = 1741419382799, INFO
2025-03-08T13:06:22.802 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:22.802 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:22.806 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:22.806 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:22.810 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:22.811 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:24.320 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:24.320 +0530 [V]  - Music active, INFO
2025-03-08T13:06:25.321 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:25.321 +0530 [V]  - Music active, INFO
2025-03-08T13:06:26.322 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:26.323 +0530 [V]  - Music active, INFO
2025-03-08T13:06:27.323 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:27.325 +0530 [V]  - Music active, INFO
2025-03-08T13:06:28.323 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:28.326 +0530 [V]  - Music active, INFO
2025-03-08T13:06:28.719 +0530 [V]  - lastNotificationReceivedTime = 1741419388718, INFO
2025-03-08T13:06:28.721 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:28.722 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:28.724 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:28.724 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:28.725 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:28.725 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:29.324 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:29.325 +0530 [V]  - Music active, INFO
2025-03-08T13:06:30.327 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:30.327 +0530 [V]  - Music active, INFO
2025-03-08T13:06:31.329 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:31.329 +0530 [V]  - Music active, INFO
2025-03-08T13:06:32.329 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:32.330 +0530 [V]  - Music active, INFO
2025-03-08T13:06:33.330 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:33.331 +0530 [V]  - Music active, INFO
2025-03-08T13:06:34.329 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:34.330 +0530 [V]  - Music active, INFO
2025-03-08T13:06:35.328 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:35.329 +0530 [V]  - Music active, INFO
2025-03-08T13:06:36.330 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:36.332 +0530 [V]  - Music active, INFO
2025-03-08T13:06:37.330 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:37.332 +0530 [V]  - Music active, INFO
2025-03-08T13:06:37.953 +0530 [V]  - lastNotificationReceivedTime = 1741419397953, INFO
2025-03-08T13:06:37.957 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:37.960 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:37.964 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:37.965 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:37.968 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:37.969 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:38.331 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:38.331 +0530 [V]  - Music active, INFO
2025-03-08T13:06:39.332 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:39.332 +0530 [V]  - Music active, INFO
2025-03-08T13:06:40.335 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:40.335 +0530 [V]  - Music active, INFO
2025-03-08T13:06:41.334 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:41.335 +0530 [V]  - Music active, INFO
2025-03-08T13:06:42.333 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:42.334 +0530 [V]  - Music active, INFO
2025-03-08T13:06:43.333 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:43.334 +0530 [V]  - Music active, INFO
2025-03-08T13:06:44.336 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:44.337 +0530 [V]  - Music active, INFO
2025-03-08T13:06:45.338 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:45.340 +0530 [V]  - Music active, INFO
2025-03-08T13:06:46.334 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:46.335 +0530 [V]  - Music active, INFO
2025-03-08T13:06:47.337 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:47.339 +0530 [V]  - Music active, INFO
2025-03-08T13:06:48.339 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:48.339 +0530 [V]  - Music active, INFO
2025-03-08T13:06:48.920 +0530 [V]  - lastNotificationReceivedTime = 1741419408917, INFO
2025-03-08T13:06:48.922 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:48.924 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:48.927 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:48.928 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:48.931 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:48.931 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:48.933 +0530 [V]  - lastNotificationReceivedTime = 1741419408933, INFO
2025-03-08T13:06:48.936 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:48.936 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:48.937 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:48.938 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:48.940 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:48.940 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:48.954 +0530 [V]  - Notification: id-1 sent to linwear, INFO
2025-03-08T13:06:49.337 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:49.337 +0530 [V]  - Music active, INFO
2025-03-08T13:06:50.339 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:50.340 +0530 [V]  - Music active, INFO
2025-03-08T13:06:50.467 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T13:06:50.468 +0530 [V]  - Music filters passed, INFO
2025-03-08T13:06:50.470 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T13:06:50.470 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T13:06:50.473 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T13:06:50.474 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T13:06:51.338 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:51.339 +0530 [V]  - Music active, INFO
2025-03-08T13:06:52.340 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:52.341 +0530 [V]  - Music active, INFO
2025-03-08T13:06:53.342 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:06:53.343 +0530 [V]  - Music active, INFO
2025-03-08T13:06:54.341 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
